iter	Passed	Remaining
422	2146	2928
423	2150	2921
424	2155	2916
425	2160	2910
426	2164	2904
427	2169	2900
428	2174	2894
429	2178	2888
430	2182	2881
431	2188	2876
432	2192	2870
433	2196	2863
434	2200	2857
435	2205	2852
436	2208	2845
437	2212	2839
438	2217	2833
439	2221	2827
440	2225	2820
441	2229	2814
442	2233	2808
443	2238	2803
444	2243	2797
445	2247	2791
446	2252	2786
447	2256	2780
448	2260	2773
449	2264	2767
450	2269	2762
451	2273	2756
452	2278	2750
453	2283	2745
454	2287	2739
455	2290	2732
456	2294	2726
457	2300	2722
458	2304	2716
459	2308	2710
460	2313	2704
461	2317	2698
462	2320	2691
463	2324	2685
464	2328	2679
465	2333	2673
466	2337	2667
467	2341	2661
468	2345	2655
469	2349	2649
470	2354	2643
471	2357	2637
472	2361	2631
473	2366	2625
474	2370	2620
475	2375	2614
476	2379	2609
477	2383	2603
478	2388	2598
479	2392	2592
480	2397	2586
481	2401	2580
482	2405	2575
483	2409	2569
484	2413	2563
485	2418	2557
486	2422	2552
487	2427	2546
488	2431	2541
489	2437	2536
490	2441	2530
491	2445	2524
492	2449	2518
493	2454	2514
494	2458	2508
495	2463	2502
496	2468	2497
497	2472	2492
498	2476	2486
499	2480	2480
500	2485	2475
501	2489	2469
502	2493	2463
503	2497	2458
504	2502	2453
505	2506	2446
506	2510	2441
507	2515	2436
508	2521	2432
509	2530	2431
510	2536	2427
511	2540	2421
512	2545	2416
513	2551	2412
514	2556	2407
515	2561	2402
516	2566	2397
517	2571	2392
518	2576	2387
519	2581	2382
520	2585	2376
521	2589	2371
522	2594	2365
523	2598	2360
524	2603	2355
525	2607	2349
526	2611	2344
527	2615	2338
528	2620	2333
529	2624	2327
530	2629	2322
531	2634	2317
532	2638	2311
533	2642	2306
534	2647	2301
535	2652	2295
536	2656	2290
537	2661	2285
538	2666	2280
539	2671	2275
540	2676	2270
541	2681	2265
542	2685	2260
543	2690	2255
544	2695	2250
545	2699	2244
546	2703	2238
547	2706	2232
548	2711	2227
549	2715	2221
550	2719	2216
551	2724	2210
552	2728	2205
553	2732	2199
554	2736	2194
555	2741	2189
556	2745	2183
557	2749	2178
558	2754	2172
559	2758	2167
560	2765	2164
561	2771	2160
562	2778	2156
563	2786	2154
564	2792	2150
565	2797	2145
566	2803	2141
567	2809	2136
568	2815	2132
569	2820	2127
570	2826	2123
571	2831	2118
572	2835	2113
573	2841	2108
574	2846	2103
575	2851	2098
576	2858	2095
577	2866	2092
578	2870	2087
579	2875	2082
580	2879	2076
581	2883	2070
582	2888	2065
583	2892	2060
584	2895	2054
585	2899	2048
586	2904	2043
587	2909	2038
588	2913	2032
589	2916	2027
590	2922	2022
591	2926	2016
592	2930	2011
593	2934	2005
594	2939	2000
595	2943	1995
596	2947	1989
597	2951	1984
598	2956	1979
599	2960	1973
600	2964	1968
601	2969	1963
602	2973	1957
603	2977	1952
604	2981	1946
605	2987	1942
606	2991	1937
607	2996	1932
608	3001	1927
609	3005	1921
610	3010	1916
611	3014	1911
612	3019	1906
613	3023	1900
614	3027	1895
615	3031	1889
616	3036	1884
617	3040	1879
618	3045	1874
619	3049	1869
620	3053	1863
621	3057	1858
622	3061	1852
623	3066	1847
624	3071	1842
625	3076	1837
626	3080	1832
627	3085	1827
628	3089	1822
629	3094	1817
630	3098	1811
631	3102	1806
632	3106	1801
633	3110	1795
634	3115	1790
635	3119	1785
636	3123	1780
637	3127	1774
638	3132	1769
639	3136	1764
640	3140	1758
641	3144	1753
642	3149	1748
643	3153	1743
644	3157	1737
645	3161	1732
646	3166	1727
647	3170	1722
648	3173	1716
649	3178	1711
650	3183	1706
651	3186	1700
652	3190	1695
653	3195	1690
654	3199	1685
655	3203	1679
656	3206	1674
657	3212	1669
658	3216	1664
659	3220	1658
660	3224	1653
661	3229	1648
662	3233	1643
663	3237	1638
664	3241	1632
665	3246	1628
666	3250	1622
667	3254	1617
668	3259	1612
