,importance
condition_cylinders_fuel,9897322048.0
cylinders_fuel_type,9865000928.0
transmission_drive_paint_color,9849679136.0
transmission_paint_color_year_str,9822340032.0
region_size_year_str,9726818016.0
manufacturer_type_year_str,9676990016.0
manufacturer_title_status_state,9625425056.0
type_paint_color_state,9525616032.0
title_status_size_state,9235130880.0
cylinders_title_status_type,9089574112.0
condition_title_status_year_str,9052554944.0
cylinders_drive_state,8937454976.0
region_title_status_transmission,8817714880.0
manufacturer_title_status_transmission,8705174112.0
condition_drive_state,8642251072.0
region_condition_cylinders,8626783936.0
cylinders_fuel_drive,8590200224.0
drive_size_paint_color,8541696064.0
manufacturer_drive_state,8474439008.0
manufacturer_condition_cylinders,8432924064.0
transmission_type_state,8385525120.0
fuel_transmission_drive,8378639872.0
fuel_type_state,8212579072.0
title_status_size_type,8098970912.0
region_cylinders_title_status,8061465984.0
manufacturer_fuel_drive,8059592192.0
condition_cylinders_year_str,7993242944.0
title_status_drive_paint_color,7947291008.0
condition_transmission_type,7929176896.0
title_status_type_year_str,7742323936.0
cylinders_state_year_str,7742173120.0
drive_size_state,7712848000.0
transmission_drive_state,7646577056.0
cylinders_fuel_title_status,7559939968.0
region_state_year_str,7450747936.0
region_cylinders_size,7362223008.0
cylinders_drive_paint_color,7301665088.0
drive_type_state,7280573056.0
title_status_drive_state,7258393088.0
manufacturer_title_status_year_str,7215297024.0
condition_cylinders_title_status,7142500064.0
size_type_paint_color,6901607040.0
manufacturer_fuel_title_status,6884250048.0
size_state_year_str,6706358912.0
region_title_status_size,6447701920.0
title_status_transmission_drive,6344181952.0
cylinders_size_type,6327580096.0
manufacturer_cylinders_fuel,6230353024.0
condition_cylinders_state,6165679008.0
condition_cylinders_size,6161735040.0
size,6077844096.0
region,6075668992.0
title_status,6049174016.0
size_paint_color_state,6004992000.0
title_status_transmission_year_str,5951858048.0
title_status_size_paint_color,5883572096.0
transmission_size_paint_color,5808009024.0
cylinders_title_status_paint_color,5756656064.0
cylinders_title_status_state,5668247008.0
cylinders_drive_type,5571200096.0
transmission_type_year_str,5448026048.0
cylinders,5414498976.0
region_fuel_title_status,5373575968.0
region_drive_size,5269149056.0
drive,5242539904.0
fuel_drive_state,5229848992.0
condition_title_status_transmission,5057547008.0
condition_fuel_drive,4988924064.0
cylinders_type_paint_color,4809521984.0
transmission_size_type,4798227072.0
manufacturer_title_status_type,4793151104.0
manufacturer_size_state,4765058944.0
cylinders_transmission_paint_color,4748045920.0
manufacturer_fuel_type,4728197888.0
fuel_title_status_transmission,4638217856.0
condition_size_type,4549454944.0
fuel_size_state,4414311040.0
manufacturer_fuel_size,4405736064.0
condition_transmission_size,4378278016.0
condition_transmission_paint_color,4315671040.0
cylinders_size_paint_color,4307396096.0
manufacturer_type_state,4274157056.0
title_status_transmission_paint_color,4244018048.0
condition_size_state,4206527936.0
manufacturer_condition_size,4192991936.0
cylinders_title_status_size,4139371040.0
condition_fuel_size,4086615072.0
title_status_transmission_type,4079907936.0
size_type_state,3988186944.0
cylinders_title_status_drive,3971917088.0
transmission_drive_size,3936020096.0
title_status_drive_type,3891981024.0
condition_title_status_drive,3621794944.0
condition_fuel_state,3543787008.0
cylinders_fuel_state,3412609952.0
fuel_size_type,3314892032.0
manufacturer_drive_size,3297094976.0
paint_color,3175936000.0
cylinders_transmission_state,3113847936.0
drive_size_type,3098101952.0
manufacturer,3063579008.0
fuel,3062194048.0
manufacturer_cylinders_title_status,3054394944.0
condition_cylinders_drive,2972401024.0
cylinders_transmission_size,2963719936.0
manufacturer_fuel_transmission,2931117984.0
year,2870408000.0
transmission_type_paint_color,2771667968.0
manufacturer_cylinders_type,2765832000.0
fuel_drive_type,2563675008.0
fuel_size_paint_color,2472139968.0
condition_title_status_size,2418573984.0
manufacturer_transmission_drive,2363290976.0
manufacturer_cylinders_state,2296832064.0
cylinders_drive_size,2265441024.0
condition_fuel_title_status,2211087968.0
manufacturer_size_paint_color,2151062080.0
manufacturer_size_type,2137997952.0
cylinders_title_status_transmission,2084132064.0
condition,2057479936.0
cylinders_fuel_size,2055022976.0
cylinders_fuel_transmission,1984359936.0
manufacturer_fuel_paint_color,1959170976.0
cylinders_transmission_drive,1823459968.0
fuel_transmission_type,1790925952.0
type,1712140992.0
fuel_drive_size,1646409984.0
transmission,1628272000.0
title_status_transmission_size,1588164960.0
manufacturer_transmission_type,1434979968.0
transmission_drive_type,1378600000.0
manufacturer_cylinders_size,1359129984.0
fuel_transmission_size,1355864000.0
condition_size_paint_color,1331715008.0
condition_cylinders_transmission,1042929984.0
manufacturer_transmission_size,999473984.0
fuel_transmission_paint_color,979044992.0
fuel_title_status_size,620358976.0
manufacturer_condition_title_status,0.0
condition_drive_size,0.0
manufacturer_cylinders_transmission,0.0
