,0
condition_fuel_size_year_str_paint_color,7.241268547986124
odometer,6.355948626435293
condition_fuel_size_year_str,5.786643041787443
drive_fuel_year_str,5.289527250482706
condition_manufacturer,4.338796756755414
condition_year_str,4.179100888279663
condition_paint_color,3.3948601041799975
manufacturer,3.3417025417037394
year_str,3.244965041346859
type,3.1154364289420755
year,2.6031095801926085
title_status,2.4298875347739113
paint_color,2.261708139315033
condition_drive,2.136120196638558
size,1.7788033335364162
condition_transmission,1.6682405470191952
cylinders,1.6346594968297268
transmission,1.2621880258478768
odometer_diff,1.1317435803448461
drive,0.8148197133550639
fuel,0.5849161973969785
condition,0.5662481338220005
