,0
odometer,35.143305265137315
year,29.225269405515064
odometer_diff,25.652765934864874
drive_fuel_year_str,16.513022477795403
condition_year_str,11.207691370600514
condition_manufacturer,11.077022573999784
condition_paint_color_year_str,9.795811906485596
manufacturer,8.647663257050908
condition_fuel_size_year_str_paint_color,8.555290012282057
paint_color,8.05690694136274
type,7.323123199398651
drive,6.692515666486543
condition_paint_color,5.263670704351853
cylinders,4.0732113249930535
condition_fuel_size_year_str,3.9246931699210563
condition_transmission,3.923822335565319
condition_drive,3.459680672506238
title_status,2.433939627195514
size,2.2674567732394735
fuel,1.8985043254815537
transmission,1.4177969036666127
condition,0.12554803845432616
year_str,0.0
